id,url,index,confidence,xmin,ymin,xmax,ymax,w,h,ponies,artists
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,0,0.9943539500236512,674,261,962,549,288,288,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,1,0.99136084318161,39,1,313,275,274,274,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,2,0.9761856198310852,649,487,975,813,326,326,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,3,0.95222407579422,89,260,383,554,294,294,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,4,0.9119000434875488,17,977,341,1280,324,303,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,0,0.9943539500236512,687,275,947,535,260,260,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,1,0.99136084318161,33,0,319,282,286,282,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,2,0.9761856198310852,663,502,961,800,298,298,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,3,0.95222407579422,103,275,369,541,266,266,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000135.png,https://derpicdn.net/img/view/2015/10/11/1000135.png,4,0.9119000434875488,32,992,326,1280,294,288,applejack|fluttershy|princess celestia|rainbow dash|rarity|twilight sparkle,ratofdrawn|rainbowscreen|crombiettw|fearingfun|shydale
1000560.png,https://derpicdn.net/img/view/2015/10/12/1000560.png,0,0.9946498870849608,176,0,488,303,312,303,fluttershy|twilight sparkle,king-kakapo
1000560.png,https://derpicdn.net/img/view/2015/10/12/1000560.png,1,0.9925212860107422,446,43,732,329,286,286,fluttershy|twilight sparkle,king-kakapo
1000560.png,https://derpicdn.net/img/view/2015/10/12/1000560.png,0,0.9946498870849608,190,6,474,290,284,284,fluttershy|twilight sparkle,king-kakapo
1000560.png,https://derpicdn.net/img/view/2015/10/12/1000560.png,1,0.9925212860107422,459,56,719,316,260,260,fluttershy|twilight sparkle,king-kakapo
1000976.png,https://derpicdn.net/img/view/2015/10/13/1000976.png,0,0.9811215996742249,23,281,771,1029,748,748,princess luna|twilight sparkle,dragonfoorm|dfectivedvice
