id,url,index,confidence,xmin,ymin,xmax,ymax,w,h,ponies,artists
1002895.png,https://derpicdn.net/img/view/2015/10/15/1002895.png,0,0.9965477585792542,47,7,415,375,368,368,twilight sparkle,cultmasteraranukon
1005256.png,https://derpicdn.net/img/view/2015/10/18/1005256.png,0,0.9985918402671814,493,223,791,521,298,298,twilight sparkle,thattagen
1005256.png,https://derpicdn.net/img/view/2015/10/18/1005256.png,0,0.9985918402671814,507,236,777,506,270,270,twilight sparkle,thattagen
1006491.png,https://derpicdn.net/img/view/2015/10/20/1006491.png,0,0.9558888673782348,132,0,698,495,566,495,twilight sparkle,
1006491.png,https://derpicdn.net/img/view/2015/10/20/1006491.png,0,0.9558888673782348,159,0,681,458,522,458,twilight sparkle,
1006945.png,https://derpicdn.net/img/view/2015/10/21/1006945.png,0,0.9394687414169312,0,50,433,530,433,480,twilight sparkle,yanshiki
1006945.png,https://derpicdn.net/img/view/2015/10/21/1006945.png,0,0.9394687414169312,0,72,411,508,411,436,twilight sparkle,yanshiki
1007039.png,https://derpicdn.net/img/view/2015/10/21/1007039.png,0,0.9677649140357972,347,0,835,452,488,452,twilight sparkle,spaerk
1007039.png,https://derpicdn.net/img/view/2015/10/21/1007039.png,0,0.9677649140357972,368,0,812,430,444,430,twilight sparkle,spaerk
1009635.png,https://derpicdn.net/img/view/2015/10/25/1009635.png,0,0.9941345453262328,1020,0,2600,1509,1580,1509,twilight sparkle,acharmingpony
1009635.png,https://derpicdn.net/img/view/2015/10/25/1009635.png,0,0.9941345453262328,1060,0,2560,1433,1500,1433,twilight sparkle,acharmingpony
1010471.png,https://derpicdn.net/img/view/2015/10/28/1010471.png,0,0.9327071905136108,784,296,1738,1250,954,954,twilight sparkle,mysticalpha
1010471.png,https://derpicdn.net/img/view/2015/10/28/1010471.png,0,0.9327071905136108,825,336,1697,1208,872,872,twilight sparkle,mysticalpha
1010557.png,https://derpicdn.net/img/view/2015/10/28/1010557.png,0,0.9983243346214294,1853,0,2893,1021,1040,1021,twilight sparkle,azure-doodle
1010557.png,https://derpicdn.net/img/view/2015/10/28/1010557.png,0,0.9983243346214294,1900,26,2844,970,944,944,twilight sparkle,azure-doodle
1013521.png,https://derpicdn.net/img/view/2015/10/31/1013521.png,0,0.9989238977432252,336,0,1130,849,794,849,twilight sparkle,badumsquish
1013521.png,https://derpicdn.net/img/view/2015/10/31/1013521.png,0,0.9989238977432252,380,0,1130,808,750,808,twilight sparkle,badumsquish
1014331.png,https://derpicdn.net/img/view/2015/11/1/1014331.png,0,0.9240755438804626,759,0,2491,1661,1732,1661,twilight sparkle,vector-brony
1014331.png,https://derpicdn.net/img/view/2015/11/1/1014331.png,0,0.9240755438804626,840,8,2414,1582,1574,1574,twilight sparkle,vector-brony
1018166.png,https://derpicdn.net/img/view/2015/11/7/1018166.png,0,0.9622467756271362,82,28,472,418,390,390,twilight sparkle,
1018166.png,https://derpicdn.net/img/view/2015/11/7/1018166.png,0,0.9622467756271362,35,0,504,464,469,464,twilight sparkle,
1018835.png,https://derpicdn.net/img/view/2015/11/8/1018835.png,0,0.984200954437256,36,3,512,479,476,476,twilight sparkle,discord|caramelbunnies
1018835.png,https://derpicdn.net/img/view/2015/11/8/1018835.png,0,0.984200954437256,9,0,528,505,519,505,twilight sparkle,discord|caramelbunnies
1019250.jpg,https://derpicdn.net/img/view/2015/11/8/1019250.jpg,0,0.9592788815498352,67,194,1300,1536,1233,1342,twilight sparkle,evehly
